timestamp,site,LAeq_dB,LAmax_dB,quality_flag
2026-01-01 00:00:00,P1,51.2,57.2,OK
2026-01-01 00:01:00,P1,49.2,56.9,OK
2026-01-01 00:02:00,P1,51.8,56.1,OK
2026-01-01 00:03:00,P1,52.1,56.7,OK
2026-01-01 00:04:00,P1,47.8,54.6,OK
2026-01-01 00:05:00,P1,48.7,53.7,OK
2026-01-01 00:06:00,P1,50.8,57.3,OK
2026-01-01 00:07:00,P1,50.2,54.9,OK
2026-01-01 00:08:00,P1,50.6,53.9,OK
2026-01-01 00:09:00,P1,49.3,55.8,OK
2026-01-01 00:10:00,P1,,,MISSING
2026-01-01 00:11:00,P1,51.7,54.9,OK
2026-01-01 00:12:00,P1,50.6,56.4,OK
2026-01-01 00:13:00,P1,52.2,58.7,OK
2026-01-01 00:14:00,P1,51.2,58.6,OK
2026-01-01 00:15:00,P1,49.2,52.8,OK
2026-01-01 00:16:00,P1,51.0,53.7,OK
2026-01-01 00:17:00,P1,49.0,56.8,OK
2026-01-01 00:18:00,P1,51.8,54.7,OK
2026-01-01 00:19:00,P1,50.3,53.5,OK
2026-01-01 00:20:00,P1,50.1,53.9,OK
2026-01-01 00:21:00,P1,49.4,54.5,OK
2026-01-01 00:22:00,P1,52.2,59.5,OK
2026-01-01 00:23:00,P1,50.1,56.7,OK
2026-01-01 00:24:00,P1,49.7,55.9,OK
2026-01-01 00:25:00,P1,49.8,52.8,OK
2026-01-01 00:26:00,P1,51.1,55.2,OK
2026-01-01 00:27:00,P1,50.8,55.7,OK
2026-01-01 00:28:00,P1,50.9,53.8,OK
2026-01-01 00:29:00,P1,50.9,54.5,OK
2026-01-01 00:30:00,P1,53.5,57.3,OK
2026-01-01 00:31:00,P1,49.6,52.4,OK
2026-01-01 00:32:00,P1,49.4,54.7,OK
2026-01-01 00:33:00,P1,49.0,55.2,OK
2026-01-01 00:34:00,P1,51.1,53.5,OK
2026-01-01 00:35:00,P1,51.9,56.7,OK
2026-01-01 00:36:00,P1,50.0,56.7,OK
2026-01-01 00:37:00,P1,48.9,55.4,OK
2026-01-01 00:38:00,P1,48.9,55.8,OK
2026-01-01 00:39:00,P1,51.1,55.8,OK
2026-01-01 00:40:00,P1,51.2,58.1,OK
2026-01-01 00:41:00,P1,50.9,54.3,OK
2026-01-01 00:42:00,P1,49.1,53.2,OK
2026-01-01 00:43:00,P1,50.4,53.4,OK
2026-01-01 00:44:00,P1,50.2,55.0,OK
2026-01-01 00:45:00,P1,50.3,54.7,OK
2026-01-01 00:46:00,P1,51.3,54.7,OK
2026-01-01 00:47:00,P1,50.3,56.8,OK
2026-01-01 00:48:00,P1,51.0,54.9,OK
2026-01-01 00:49:00,P1,50.1,53.7,OK
2026-01-01 00:50:00,P1,50.4,53.2,OK
2026-01-01 00:51:00,P1,50.9,55.5,OK
2026-01-01 00:52:00,P1,47.7,51.5,OK
2026-01-01 00:53:00,P1,49.4,53.6,OK
2026-01-01 00:54:00,P1,49.2,52.6,OK
2026-01-01 00:55:00,P1,48.9,55.5,OK
2026-01-01 00:56:00,P1,49.4,57.0,OK
2026-01-01 00:57:00,P1,52.1,57.1,OK
2026-01-01 00:58:00,P1,48.5,54.4,OK
2026-01-01 00:59:00,P1,51.3,58.5,OK
2026-01-01 01:00:00,P1,47.3,55.3,OK
2026-01-01 01:01:00,P1,49.3,55.0,OK
2026-01-01 01:02:00,P1,50.0,57.4,OK
2026-01-01 01:03:00,P1,50.6,58.1,OK
2026-01-01 01:04:00,P1,50.8,57.6,OK
2026-01-01 01:05:00,P1,50.9,55.7,OK
2026-01-01 01:06:00,P1,49.2,51.7,OK
2026-01-01 01:07:00,P1,49.0,51.1,OK
2026-01-01 01:08:00,P1,51.0,55.9,OK
2026-01-01 01:09:00,P1,49.4,54.4,OK
2026-01-01 01:10:00,P1,47.8,52.2,OK
2026-01-01 01:11:00,P1,48.0,53.4,OK
2026-01-01 01:12:00,P1,48.3,53.6,OK
2026-01-01 01:13:00,P1,50.4,57.4,OK
2026-01-01 01:14:00,P1,49.8,52.5,OK
2026-01-01 01:15:00,P1,50.7,54.0,OK
2026-01-01 01:16:00,P1,49.0,55.7,OK
2026-01-01 01:17:00,P1,49.8,56.9,OK
2026-01-01 01:18:00,P1,50.5,58.5,OK
2026-01-01 01:19:00,P1,49.1,56.3,OK
